Date,Source,Headline,Polarity,Sentiment
2026-07-27T11:08:28Z,Giveawayoftheday.com,ADAPT - Adaptive Icon Pack,0.0,Neutral
2026-07-27T11:07:13Z,Biztoc.com,Chamath Warns A Government Ban On Open-Source AI Would Tank The Market And Crater Anthropic And OpenAI,0.0,Neutral
2026-07-27T11:07:12Z,Biztoc.com,Apple options are doing something unusual into earnings,0.2,Positive
2026-07-27T11:06:51Z,Biztoc.com,Maker of Chips Sought by Apple Soars to No. 1 in China Stock Market,0.0,Neutral
2026-07-27T11:06:00Z,GlobeNewswire,"Costamare Inc. Reports Results for the Second Quarter and Six-Month Period Ended June 30, 2026",0.0,Neutral
2026-07-27T11:05:36Z,24/7 Wall St.,4 Under-the-Radar Stocks That Check Every LBO Target Box,0.0,Neutral
2026-07-27T11:05:25Z,Livemint,"How three stubborn men, and $1.5 billion poured in over two decades, put India on the world’s new-drug map",0.0,Neutral
2026-07-27T11:05:11Z,Financial Post,Cielo Announces Executive Changes and Stock Option Grants,0.0,Neutral
2026-07-27T11:04:49Z,Financial Post,Belo Sun Announces Final Resolution of Civil Public Action,0.03333333333333333,Positive
2026-07-27T11:04:39Z,CoinDesk,Bitcoin ETFs post third straight weekly inflows despite $465 million in late-week losses,0.1,Positive
2026-07-27T11:04:24Z,Financial Post,JPMorgan Announces Cash Distributions for the JPMorgan ETFs,0.0,Neutral
2026-07-27T11:03:38Z,Financial Post,AECOM selected to design New Lisbon Airport,0.13636363636363635,Positive
2026-07-27T11:01:56Z,MarketBeat,"Vodafone AGM Highlights Three UK Integration, Dividend Growth and Cash Flow Ambitions",0.0,Neutral
2026-07-27T11:00:02Z,Vulture,The Cool Girl’s Comic,0.3,Positive
2026-07-27T11:00:00Z,GlobeNewswire,JPMorgan Announces Cash Distributions for the JPMorgan ETFs,0.0,Neutral
2026-07-27T11:00:00Z,GlobeNewswire,Picard Medical Receives NYSE American Acceptance of Compliance Plan,0.0,Neutral
2026-07-27T11:00:00Z,GlobeNewswire,Lakeland Financial Reports Record Second Quarter Performance; Net Income Increases 5% to $28.4 million on 7% Revenue Expansion; Average Loans Grow by 6%,-0.0375,Negative
2026-07-27T11:00:00Z,Deadline,"Cristiano Ronaldo Reportedly Lining Up First Drama Series With Matthew Vaughn, Damian Lewis & Some Big Name Guest Stars",0.125,Positive
2026-07-27T10:58:27Z,CNBC,Apple options are doing something unusual into earnings,0.2,Positive
2026-07-27T10:57:52Z,Bharathorizon.com,StockGro's Vision: Becoming the Decision-Making Layer for Retail Investors,0.45,Positive
2026-07-27T10:56:34Z,Livemint,CXMT shares soar 500% in blockbuster stock market debut: What to know about Changxin Technology Group,0.0,Neutral
2026-07-27T10:53:20Z,Biztoc.com,Alphabet's Net Income Doesn't Matter Right Now. Follow This Metric Instead,0.14285714285714285,Positive
2026-07-27T10:53:01Z,Biztoc.com,Where Will Quantinuum Stock Be in 1 Year?,0.0,Neutral
2026-07-27T10:50:14Z,Crypto Briefing,China’s largest IPO in over a decade becomes the first major Asian test for crypto pre-IPO futures,0.10416666666666667,Positive
